Sample	method	HQ	# >MQ MAGS	>MQ length	#contigs	>MQ N50
47-1_7	alignedFracs	3	10	24963718	95	374073
47-1_10	alignedFracs	7	18	42205116	127	359642
47-1_17	alignedFracs	2	10	24275634	132	68095
47-1_37	alignedFracs	13	28	75644507	121	108077
47-1_88	alignedFracs	3	18	41161122	269	47215
40-2_6	alignedFracs	8	14	40247503	80	494646
40-2_10	alignedFracs	8	21	61344726	116	314108
40-2_16	alignedFracs	12	20	59712874	173	237207
40-2_35	alignedFracs	5	17	40974932	237	109126
40-2_94	alignedFracs	6	19	42900015	143	110131
47-1_7	highcov	5	13	36982442	20	1392804
47-1_10	highcov	8	21	61056172	19	1249244
47-1_17	highcov	2	9	26422620	26	572235
47-1_37	highcov	9	32	98958149	20	641883
47-1_88	highcov	7	25	73143046	18	679289
40-2_6	highcov	10	13	40052026	14	1635456
40-2_10	highcov	9	22	69278284	16	1371694
40-2_16	highcov	10	25	83895426	11	1744426
40-2_35	highcov	4	19	52772098	13	1137853
40-2_94	highcov	2	15	39558994	14	734147
47-1_7	cmb	4	12	30882081	32	1132536
47-1_10	cmb	8	23	66019900	36	1044589
47-1_17	cmb	2	8	23453219	32	619219
47-1_37	cmb	9	32	102409287	34	579487
47-1_88	cmb	8	22	63424065	58	629537
40-2_6	cmb	9	13	39013186	16	1646754
40-2_10	cmb	9	22	70608153	19	1430534
40-2_16	cmb	9	24	82848025	30	1802249
40-2_35	cmb	4	19	56847407	65	1115762
40-2_94	cmb	3	18	47014254	24	777176
47-1_7	rawMSpades	7	21	58206030	204	68233
47-1_10	rawMSpades	12	25	64224137	218	68619
47-1_17	rawMSpades	5	14	33488491	134	47096
47-1_37	rawMSpades	17	40	104362956	161	66286
47-1_88	rawMSpades	4	15	39192193	324	27230
40-2_6	rawMSpades	6	18	46316272	162	82796
40-2_10	rawMSpades	12	28	76940776	184	75259
40-2_16	rawMSpades	12	23	68799068	227	71396
40-2_35	rawMSpades	10	21	56233921	223	64977
40-2_94	rawMSpades	4	22	48035459	213	64700
47-1_7	mSpadesNanopore	8	25	56370991	183	192713
47-1_10	mSpadesNanopore	11	26	71017288	114	336256
47-1_17	mSpadesNanopore	6	17	41466791	91	158711
47-1_37	mSpadesNanopore	24	46	125572396	125	170776
47-1_88	mSpadesNanopore	9	26	70673735	128	90597
40-2_6	mSpadesNanopore	8	16	48063261	117	479820
40-2_10	mSpadesNanopore	15	27	81986135	97	553484
40-2_16	mSpadesNanopore	18	27	86319915	113	449351
40-2_35	mSpadesNanopore	12	29	89733457	131	171572
40-2_94	mSpadesNanopore	7	23	53212109	122	241524
47-1_7	mSpades_alignedFracs	5	21	54610912	245	144251
47-1_10	mSpades_alignedFracs	8	24	64800027	151	212809
47-1_17	mSpades_alignedFracs	3	10	24225521	63	89295
47-1_37	mSpades_alignedFracs	17	45	119138190	145	109710
47-1_88	mSpades_alignedFracs	5	18	50031554	239	56957
40-2_6	mSpades_alignedFracs	6	15	43636131	84	299351
40-2_10	mSpades_alignedFracs	7	23	68601801	135	146754
40-2_16	mSpades_alignedFracs	12	24	72155551	181	173400
40-2_35	mSpades_alignedFracs	7	23	61190668	192	112515
40-2_94	mSpades_alignedFracs	3	18	42808120	135	110071
47-1_7	mSpades_highcov	5	18	50664608	202	272536
47-1_10	mSpades_highcov	6	20	57106977	108	357553
47-1_17	mSpades_highcov	0	4	10312431	64	134530
47-1_37	mSpades_highcov	5	33	93050570	120	354204
47-1_88	mSpades_highcov	2	14	39874741	59	417322
40-2_6	mSpades_highcov	7	16	45749162	47	432163
