Timepoints,Group,MAG_Count
3,Filtered (MQ or HQ),197
3,Filtered (MQ or HQ),203
4,Filtered (MQ or HQ),434
4,Filtered (MQ or HQ),303
4,Filtered (MQ or HQ),284
4,Filtered (MQ or HQ),423
4,Filtered (MQ or HQ),273
4,Filtered (MQ or HQ),294
4,Filtered (MQ or HQ),281
4,Filtered (MQ or HQ),318
6-7,Filtered (MQ or HQ),264
6-7,Filtered (MQ or HQ),312
6-7,Filtered (MQ or HQ),387
6-7,Filtered (MQ or HQ),368
6-7,Filtered (MQ or HQ),413
6-7,Filtered (MQ or HQ),422
6-7,Filtered (MQ or HQ),389
6-7,Filtered (MQ or HQ),352
6-7,Filtered (MQ or HQ),347
6-7,Filtered (MQ or HQ),313
6-7,Filtered (MQ or HQ),308
6-7,Filtered (MQ or HQ),458
6-7,Filtered (MQ or HQ),408
6-7,Filtered (MQ or HQ),311
6-7,Filtered (MQ or HQ),388
6-7,Filtered (MQ or HQ),396
19-21,Filtered (MQ or HQ),837
19-21,Filtered (MQ or HQ),1060
19-21,Filtered (MQ or HQ),1171
19-21,Filtered (MQ or HQ),1079
3,All MAGs,249
3,All MAGs,262
4,All MAGs,555
4,All MAGs,378
4,All MAGs,343
4,All MAGs,551
4,All MAGs,325
4,All MAGs,400
4,All MAGs,350
4,All MAGs,382
6-7,All MAGs,327
6-7,All MAGs,390
6-7,All MAGs,459
6-7,All MAGs,454
6-7,All MAGs,488
6-7,All MAGs,507
6-7,All MAGs,443
6-7,All MAGs,426
6-7,All MAGs,433
6-7,All MAGs,387
6-7,All MAGs,400
6-7,All MAGs,549
6-7,All MAGs,486
6-7,All MAGs,402
6-7,All MAGs,523
6-7,All MAGs,527
19-21,All MAGs,1400
19-21,All MAGs,1096
19-21,All MAGs,1455
19-21,All MAGs,1445
