Taxa,Type,Count
Faecalibacterium prausnitzii,Dyad: Infant-Infant,16
Bifidobacterium pseudocatenulatum,Dyad: Infant-Infant,9
Ruminococcus gnavus,Dyad: Infant-Infant,11
Bifidobacterium longum,Dyad: Infant-Infant,6
Bifidobacterium bifidum,Dyad: Infant-Infant,5
Blautia wexlerae,Dyad: Infant-Infant,9
Ruminococcus torques,Dyad: Infant-Infant,4
Erysipelatoclostridium ramosum,Dyad: Infant-Infant,8
Parabacteroides distasonis,Dyad: Infant-Infant,4
Enterococcus faecalis,Dyad: Infant-Infant,8
Veillonella parvula,Dyad: Infant-Infant,8
Escherichia coli,Dyad: Infant-Infant,7
Sellimonas intestinalis,Dyad: Infant-Infant,6
Bacteroides thetaiotaomicron,Dyad: Infant-Infant,4
Faecalibacillus intestinalis,Dyad: Infant-Infant,2
Bacteroides uniformis,Dyad: Infant-Infant,1
Clostridium innocuum,Dyad: Infant-Infant,7
Bifidobacterium breve,Dyad: Infant-Infant,7
Anaerostipes hadrus,Dyad: Infant-Infant,6
Ruminococcus bicirculans,Dyad: Infant-Infant,5
Ruminococcus faecis,Dyad: Infant-Infant,4
Alistipes finegoldii,Dyad: Infant-Infant,4
Bacteroides fragilis,Dyad: Infant-Infant,3
Ruminococcus bromii,Dyad: Infant-Infant,3
Phocaeicola vulgatus,Dyad: Infant-Infant,1
Anaerostipes caccae,Dyad: Infant-Infant,6
Streptococcus thermophilus,Dyad: Infant-Infant,6
Bifidobacterium adolescentis,Dyad: Infant-Infant,2
Lacrimispora celerecrescens,Dyad: Infant-Infant,2
Alistipes putredinis,Dyad: Infant-Infant,1
Blautia massiliensis,Dyad: Infant-Infant,1
Faecalibacterium prausnitzii,Dyad: Mother-Infant,3
Bifidobacterium pseudocatenulatum,Dyad: Mother-Infant,1
Ruminococcus gnavus,Dyad: Mother-Infant,0
Bifidobacterium longum,Dyad: Mother-Infant,0
Bifidobacterium bifidum,Dyad: Mother-Infant,0
Blautia wexlerae,Dyad: Mother-Infant,0
Ruminococcus torques,Dyad: Mother-Infant,1
Erysipelatoclostridium ramosum,Dyad: Mother-Infant,0
Parabacteroides distasonis,Dyad: Mother-Infant,1
Enterococcus faecalis,Dyad: Mother-Infant,0
Veillonella parvula,Dyad: Mother-Infant,0
Escherichia coli,Dyad: Mother-Infant,1
Sellimonas intestinalis,Dyad: Mother-Infant,0
Bacteroides thetaiotaomicron,Dyad: Mother-Infant,1
Faecalibacillus intestinalis,Dyad: Mother-Infant,0
Bacteroides uniformis,Dyad: Mother-Infant,0
Clostridium innocuum,Dyad: Mother-Infant,0
Bifidobacterium breve,Dyad: Mother-Infant,0
Anaerostipes hadrus,Dyad: Mother-Infant,0
Ruminococcus bicirculans,Dyad: Mother-Infant,0
Ruminococcus faecis,Dyad: Mother-Infant,1
Alistipes finegoldii,Dyad: Mother-Infant,2
Bacteroides fragilis,Dyad: Mother-Infant,0
Ruminococcus bromii,Dyad: Mother-Infant,3
Phocaeicola vulgatus,Dyad: Mother-Infant,0
Anaerostipes caccae,Dyad: Mother-Infant,0
Streptococcus thermophilus,Dyad: Mother-Infant,0
Bifidobacterium adolescentis,Dyad: Mother-Infant,0
Lacrimispora celerecrescens,Dyad: Mother-Infant,0
Alistipes putredinis,Dyad: Mother-Infant,0
Blautia massiliensis,Dyad: Mother-Infant,3
Faecalibacterium prausnitzii,Triad,2
Bifidobacterium pseudocatenulatum,Triad,4
Ruminococcus gnavus,Triad,1
Bifidobacterium longum,Triad,5
Bifidobacterium bifidum,Triad,6
Blautia wexlerae,Triad,2
Ruminococcus torques,Triad,5
Erysipelatoclostridium ramosum,Triad,1
Parabacteroides distasonis,Triad,4
Enterococcus faecalis,Triad,0
Veillonella parvula,Triad,0
Escherichia coli,Triad,0
Sellimonas intestinalis,Triad,2
Bacteroides thetaiotaomicron,Triad,3
Faecalibacillus intestinalis,Triad,6
Bacteroides uniformis,Triad,7
Clostridium innocuum,Triad,0
Bifidobacterium breve,Triad,0
Anaerostipes hadrus,Triad,1
Ruminococcus bicirculans,Triad,2
Ruminococcus faecis,Triad,2
Alistipes finegoldii,Triad,1
Bacteroides fragilis,Triad,4
Ruminococcus bromii,Triad,1
Phocaeicola vulgatus,Triad,7
Anaerostipes caccae,Triad,0
Streptococcus thermophilus,Triad,0
Bifidobacterium adolescentis,Triad,4
Lacrimispora celerecrescens,Triad,4
Alistipes putredinis,Triad,4
Blautia massiliensis,Triad,1
