MAG,Group,MOL
20-2_2_stoolxbin.11.SR_stool,Mother,0
20-2_47xbin.90.LR_stool,Mother,0
29-1_10x29-1_early__29-1_10.001.LR_stool,Mother,0
29-2_14x29-2_early__29-2_14.004.LR_stool,Mother,0
C040-M06_WCxC040-M06_WC.002.SR_plate,Mother,0
C039-M06_stoolx6_sub.SR_stool,Mother,0
19-1_16x4.LR_stool,Mother,0
19-2_12x19-2_early__19-2_12.002.LR_stool,Mother,0
C043-M07_WCxC043-M07_WC.002.SR_plate,Mother,1
29-1_42x29-1_42.016.SR_stool,Mother,24
39-1_94x39-1_late__39-1_94.004.LR_stool,Mother,36
43-1_16x43_sub.LR_stool,Mother,24
43-2_12x50.LR_stool,Mother,24
43-1_24x43-1_24.002.SR_stool,Mother,36
43-1_1_BAPx43-1_1_BAP.002.SR_plate,Mother,1
47-1_7_stoolxbin.34_sub.SR_stool,Mother,7
47-2_13x47-2_13.006.SR_stool,Mother,7
47-2_7_BAPx47-2_7_BAP.002.SR_plate,Mother,7
C047-M07_BAPx14.SR_plate,Mother,7
40-1_35_BAPx3.SR_plate,Mother,36
20-2_2_stoolxbin.11.SR_stool,Infant,2
20-2_47xbin.90.LR_stool,Infant,2
29-1_10x29-1_early__29-1_10.001.LR_stool,Infant,6
29-2_14x29-2_early__29-2_14.004.LR_stool,Infant,6
C040-M06_WCxC040-M06_WC.002.SR_plate,Infant,6
C039-M06_stoolx6_sub.SR_stool,Infant,7
19-1_16x4.LR_stool,Infant,10
19-2_12x19-2_early__19-2_12.002.LR_stool,Infant,10
C043-M07_WCxC043-M07_WC.002.SR_plate,Infant,7
29-1_42x29-1_42.016.SR_stool,Infant,33
39-1_94x39-1_late__39-1_94.004.LR_stool,Infant,41
43-1_16x43_sub.LR_stool,Infant,2
43-2_12x50.LR_stool,Infant,7
43-1_24x43-1_24.002.SR_stool,Infant,24
43-1_1_BAPx43-1_1_BAP.002.SR_plate,Infant,1
47-1_7_stoolxbin.34_sub.SR_stool,Infant,7
47-2_13x47-2_13.006.SR_stool,Infant,7
47-2_7_BAPx47-2_7_BAP.002.SR_plate,Infant,7
C047-M07_BAPx14.SR_plate,Infant,7
40-1_35_BAPx3.SR_plate,Infant,35
