MAG,Group,MOL
08-1_6_stoolx28.SR_stool,Mother,0
08-2_9xbin.19.LR_stool,Mother,0
19-2_6_stoolxbin.19.SR_stool,Mother,0
29-2_10x17.SR_stool,Mother,0
19-1_12x19-1_12.010_sub.SR_stool,Mother,0
19-2_10x1_sub.SR_stool,Mother,0
19-2_12x59.SR_stool,Mother,0
C019-M22xbin.30.LR_stool,Mother,0
C029-M00_stoolxbin.62.SR_stool,Mother,0
20-2_13x39.SR_stool,Mother,0
40-2_13x52_sub.SR_stool,Mother,0
20-2_14x20-2_14.012.SR_stool,Mother,0
19-2_16x7.LR_stool,Mother,0
20-2_47x137_sub.SR_stool,Mother,0
20-2_64xbin.77.SR_stool,Mother,0
19-1_35_stoolx107.SR_stool,Mother,0
14-1_36_stoolx25.SR_stool,Mother,0
20-2_88x73.SR_stool,Mother,0
C039-M00xbin.51.SR_stool,Mother,0
C029-M06xbin.30.SR_stool,Mother,0
C019-M22_stoolxbin.49.SR_stool,Mother,0
43-1_40x111.SR_stool,Mother,1
C043-M24x8.SR_stool,Mother,1
43-1_54x2.LR_stool,Mother,1
43-1_17x43-1_17.012.SR_stool,Mother,1
43-1_46xbin.4.LR_stool,Mother,1
C043-M24x7.LR_stool,Mother,1
C039-M24_stoolx72.SR_stool,Mother,6
40-1_93x6.SR_stool,Mother,6
29-1_N17xbin.42.SR_stool,Mother,6
C039-M06_BAPx55_sub.SR_plate,Mother,6
C039-M00x13_sub.LR_stool,Mother,6
19-1_10x18.SR_stool,Mother,7
C019-M22x23.LR_stool,Mother,7
C047-M24_stoolx1_sub.SR_stool,Mother,7
C047-M24_WCxC047-M24_WC.004.SR_plate,Mother,7
43-1_14x49.SR_stool,Mother,24
14-1_6x23.LR_stool,Mother,27
29-2_36_stoolx27_sub.SR_stool,Mother,36
43-1_14x77.SR_stool,Mother,36
47-1_17x70.SR_stool,Mother,7
47-1_7_stoolx5.SR_stool,Mother,7
47-2_13xbin.61.SR_stool,Mother,7
47-2_7_stoolxbin.15.SR_stool,Mother,7
19-1_6xbin.1.LR_stool,Mother,7
C019-M38xC019-M38.016_sub.SR_stool,Mother,7
C043-M24x99.SR_stool,Mother,24
20-2_54x38.LR_stool,Mother,24
C029-M24_stoolx103.SR_stool,Mother,24
40-1_35_stoolxbin.46.SR_stool,Mother,36
43-1_54xbin.11.SR_stool,Mother,36
08-1_6_stoolx28.SR_stool,Infant,6
08-2_9xbin.19.LR_stool,Infant,6
19-2_6_stoolxbin.19.SR_stool,Infant,6
29-2_10x17.SR_stool,Infant,9
19-1_12x19-1_12.010_sub.SR_stool,Infant,10
19-2_10x1_sub.SR_stool,Infant,10
19-2_12x59.SR_stool,Infant,10
C019-M22xbin.30.LR_stool,Infant,10
C029-M00_stoolxbin.62.SR_stool,Infant,10
20-2_13x39.SR_stool,Infant,12
40-2_13x52_sub.SR_stool,Infant,13
20-2_14x20-2_14.012.SR_stool,Infant,14
19-2_16x7.LR_stool,Infant,16
20-2_47x137_sub.SR_stool,Infant,22
20-2_64xbin.77.SR_stool,Infant,23
19-1_35_stoolx107.SR_stool,Infant,35
14-1_36_stoolx25.SR_stool,Infant,36
20-2_88x73.SR_stool,Infant,47
C039-M00xbin.51.SR_stool,Infant,66
C029-M06xbin.30.SR_stool,Infant,76
C019-M22_stoolxbin.49.SR_stool,Infant,95
43-1_40x111.SR_stool,Infant,12
C043-M24x8.SR_stool,Infant,12
43-1_54x2.LR_stool,Infant,12
43-1_17x43-1_17.012.SR_stool,Infant,16
43-1_46xbin.4.LR_stool,Infant,21
C043-M24x7.LR_stool,Infant,24
C039-M24_stoolx72.SR_stool,Infant,13
40-1_93x6.SR_stool,Infant,13
29-1_N17xbin.42.SR_stool,Infant,17
C039-M06_BAPx55_sub.SR_plate,Infant,24
C039-M00x13_sub.LR_stool,Infant,36
19-1_10x18.SR_stool,Infant,10
C019-M22x23.LR_stool,Infant,12
C047-M24_stoolx1_sub.SR_stool,Infant,13
C047-M24_WCxC047-M24_WC.004.SR_plate,Infant,17
43-1_14x49.SR_stool,Infant,7
14-1_6x23.LR_stool,Infant,6
29-2_36_stoolx27_sub.SR_stool,Infant,23
43-1_14x77.SR_stool,Infant,12
47-1_17x70.SR_stool,Infant,7
47-1_7_stoolx5.SR_stool,Infant,7
47-2_13xbin.61.SR_stool,Infant,7
47-2_7_stoolxbin.15.SR_stool,Infant,7
19-1_6xbin.1.LR_stool,Infant,6
C019-M38xC019-M38.016_sub.SR_stool,Infant,6
C043-M24x99.SR_stool,Infant,24
20-2_54x38.LR_stool,Infant,22
C029-M24_stoolx103.SR_stool,Infant,23
40-1_35_stoolxbin.46.SR_stool,Infant,35
43-1_54xbin.11.SR_stool,Infant,34
