MAG,Group,MOL
19-2_12xbin.5.LR_stool,Mother,0
C019-M00xC019-M00.005.SR_stool,Mother,0
29-1_10x18.SR_stool,Mother,0
C029-M00_stoolx124.SR_stool,Mother,0
C029-M00_stoolx136.SR_stool,Mother,0
39-1_36x67.LR_stool,Mother,0
08-1_97xbin.21.SR_stool,Mother,0
C029-M00_stoolxC029-M00_stool.036.SR_stool,Mother,0
43-2_36_stoolx33.SR_stool,Mother,1
C043-M36x77.SR_stool,Mother,1
08-1_36x16.LR_stool,Mother,6
19-1_N16_DP_BAPcstx19-1_N16_DP_BAPcst.004.SR_plate,Mother,7
20-2_15x88.SR_stool,Mother,7
39-1_36xbin.12.LR_stool,Mother,36
20-2_39xbin.67.SR_stool,Mother,24
C029-M24_stoolx116.SR_stool,Mother,24
C043-M36x4.SR_stool,Mother,36
C040-M36xbin.29.SR_stool,Mother,36
C047-M07_stoolx26.SR_stool,Mother,7
43-1_24x6.LR_stool,Mother,24
40-1_35_stoolxbin.55.SR_stool,Mother,36
C019-M00xC019-M00.005.SR_stool,Infant,6
29-1_10x18.SR_stool,Infant,10
C029-M00_stoolx124.SR_stool,Infant,20
C029-M00_stoolx136.SR_stool,Infant,33
39-1_36x67.LR_stool,Infant,36
08-1_97xbin.21.SR_stool,Infant,36
C029-M00_stoolxC029-M00_stool.036.SR_stool,Infant,47
43-2_36_stoolx33.SR_stool,Infant,36
C043-M36x77.SR_stool,Infant,73
08-1_36x16.LR_stool,Infant,14
19-1_N16_DP_BAPcstx19-1_N16_DP_BAPcst.004.SR_plate,Infant,12
20-2_15x88.SR_stool,Infant,13
39-1_36xbin.12.LR_stool,Infant,24
20-2_39xbin.67.SR_stool,Infant,22
C029-M24_stoolx116.SR_stool,Infant,23
C043-M36x4.SR_stool,Infant,34
C040-M36xbin.29.SR_stool,Infant,35
19-2_12xbin.5.LR_stool,Infant,10
C047-M07_stoolx26.SR_stool,Infant,37
43-1_24x6.LR_stool,Infant,24
40-1_35_stoolxbin.55.SR_stool,Infant,35
