MAG,Individual,LoPthruTP2,Aggregate_Adjusted_popSNP_Count,Taxa,PersistingMAG_ct,Unique_DataPoint_ct,TP1,First_Recorded_TP,LastMOL_lqfood,First_recorded_TP_Weaning,TP2_Weaning,Group,Initial_Colonization
43-1_1x43-1_1.002_sub.SR_stool.fasta,43-1,0,0,[Clostridium] innocuum,11,27,1,1,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-2_9_DP_LKVxbin.1.SR_plate.fasta,2-Aug,0,0,[Clostridium] innocuum,11,27,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_6_stoolx14-1_6_stool.013.SR_stool.fasta,14-1,0,0,[Clostridium] innocuum,11,27,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_6_stoolx17-1_6_stool.014.SR_stool.fasta,17-1,0,0,[Clostridium] innocuum,11,27,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_N11_stoolxbin.39.SR_stool.fasta,17-2,0,0,[Clostridium] innocuum,11,27,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-2_6x19-2_6_LKV_19-2_6_LKV.001.LR_plate.fasta,19-2,0,0,[Clostridium] innocuum,11,27,6,6,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-1_6x7_sub.LR_plate.fasta,40-1,0,0,[Clostridium] innocuum,11,27,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_10_DPx40-2_10_DP_LKV_40-2_10_LKV.002_sub.LR_plate.fasta,40-2,0,0,[Clostridium] innocuum,11,27,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_N17x74.SR_stool.fasta,29-1,0,0,[Clostridium] innocuum,11,27,8,8,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_N9_DP_LKVxbin.3_sub.SR_plate.fasta,20-2,0,0,[Clostridium] innocuum,11,27,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-2_N17xbin.6.SR_stool.fasta,29-2,0,0,[Clostridium] innocuum,11,27,10,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_N9_DP_LKVxbin.3_sub.SR_plate.fasta,20-2,0.083333333,0,[Clostridium] innocuum,11,27,10,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-2_9_DP_LKVxbin.1.SR_plate.fasta,2-Aug,0.25,0,[Clostridium] innocuum,11,27,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-1_6x7_sub.LR_plate.fasta,40-1,0.25,0,[Clostridium] innocuum,11,27,9,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_10_DPx40-2_10_DP_LKV_40-2_10_LKV.002_sub.LR_plate.fasta,40-2,0.333333333,0,[Clostridium] innocuum,11,27,10,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_N11_stoolxbin.39.SR_stool.fasta,17-2,0.416666667,0,[Clostridium] innocuum,11,27,11,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_N9_DP_LKVxbin.3_sub.SR_plate.fasta,20-2,0.166666667,2.032102034,[Clostridium] innocuum,11,27,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_N17x74.SR_stool.fasta,29-1,0.166666667,4.308321732,[Clostridium] innocuum,11,27,10,8,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_N17x74.SR_stool.fasta,29-1,0.25,8.39216271,[Clostridium] innocuum,11,27,11,8,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_6_stoolx17-1_6_stool.014.SR_stool.fasta,17-1,0.333333333,10.17776693,[Clostridium] innocuum,11,27,10,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_N17x74.SR_stool.fasta,29-1,0.333333333,10.6499809,[Clostridium] innocuum,11,27,12,8,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-2_N17xbin.6.SR_stool.fasta,29-2,0.333333333,13.63032799,[Clostridium] innocuum,11,27,14,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_N17x74.SR_stool.fasta,29-1,0.5,14.43332552,[Clostridium] innocuum,11,27,14,8,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_6_stoolx17-1_6_stool.014.SR_stool.fasta,17-1,0.583333333,17.27780227,[Clostridium] innocuum,11,27,13,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_6_stoolx14-1_6_stool.013.SR_stool.fasta,14-1,0.416666667,17.55655751,[Clostridium] innocuum,11,27,11,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_1x43-1_1.002_sub.SR_stool.fasta,43-1,0.083333333,35.16105345,[Clostridium] innocuum,11,27,2,1,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_6_stoolx42.SR_stool.fasta,17-1,0,0,[Ruminococcus] gnavus,13,34,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_7x12.LR_stool.fasta,43-1,0,0,[Ruminococcus] gnavus,13,34,7,7,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_8xbin.10_sub.LR_stool.fasta,43-2,0,0,[Ruminococcus] gnavus,13,34,7,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_20x48.SR_stool.fasta,39-2,0,0,[Ruminococcus] gnavus,13,34,8,8,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_9x4_sub.LR_stool.fasta,1-Aug,0,0,[Ruminococcus] gnavus,13,34,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_9_stoolxbin.7_sub.SR_stool.fasta,14-1,0,0,[Ruminococcus] gnavus,13,34,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x8_sub.LR_stool.fasta,29-1,0,0,[Ruminococcus] gnavus,13,34,9,9,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-2_12x0.SR_stool.fasta,19-2,0,0,[Ruminococcus] gnavus,13,34,10,10,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-2_10x29-2_10.004.SR_stool.fasta,29-2,0,0,[Ruminococcus] gnavus,13,34,10,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_14x28.LR_stool.fasta,14-2,0,0,[Ruminococcus] gnavus,13,34,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_16_stoolx17.SR_stool.fasta,17-2,0,0,[Ruminococcus] gnavus,13,34,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-1_15xbin.1_sub.SR_stool.fasta,40-1,0,0,[Ruminococcus] gnavus,13,34,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x8_sub.LR_stool.fasta,29-1,0.083333333,0,[Ruminococcus] gnavus,13,34,10,9,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x8_sub.LR_stool.fasta,29-1,0.166666667,0,[Ruminococcus] gnavus,13,34,11,9,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x8_sub.LR_stool.fasta,29-1,0.25,0,[Ruminococcus] gnavus,13,34,12,9,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-2_10x29-2_10.004.SR_stool.fasta,29-2,0.333333333,0,[Ruminococcus] gnavus,13,34,14,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_9_stoolxbin.7_sub.SR_stool.fasta,14-1,0.166666667,1.086294185,[Ruminococcus] gnavus,13,34,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x8_sub.LR_stool.fasta,29-1,0.333333333,2.002484972,[Ruminococcus] gnavus,13,34,13,9,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_8xbin.10_sub.LR_stool.fasta,43-2,0.083333333,10.89640316,[Ruminococcus] gnavus,13,34,8,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_6_stoolx42.SR_stool.fasta,17-1,0.583333333,15.2431831,[Ruminococcus] gnavus,13,34,13,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
