MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count,First_TP,TP2,LastMOL_lqfood,Initial_Colonization,Group
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,0.416666667,13.504,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,0.666666667,22.968,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,2.5,48.981,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,7.583333333,62.064,6,97,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_36_stoolxbin.68.SR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_36_stoolxbin.68.SR_stool.fasta,5.083333333,11.442,36,97,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_6_LKVx8.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6_LKVx8.SR_plate.fasta,0.25,2.787,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6_LKVx8.SR_plate.fasta,0.416666667,5.267,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6_LKVx8.SR_plate.fasta,0.666666667,7.144,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_6_LKVx8.SR_plate.fasta,2.5,12.148,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_6_LKVx8.SR_plate.fasta,7.583333333,15.212,6,97,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_6_WCxbin.2.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6_WCxbin.2.SR_plate.fasta,0.416666667,5.484,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6x08-1_early__08-1_6.011.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6x08-1_early__08-1_6.011.LR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6x08-1_early__08-1_6.011.LR_stool.fasta,0.416666667,0,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_6x08-1_early__08-1_6.011.LR_stool.fasta,0.666666667,7.249,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_97x74.SR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_97x74.SR_stool.fasta,5.083333333,0,36,97,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_97x8-1_late__08-1_97.002.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_97x8-1_late__08-1_97.002.LR_stool.fasta,0.416666667,22.293,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_97x8-1_late__08-1_97.002.LR_stool.fasta,2.25,34.37,9,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_97x8-1_late__08-1_97.002.LR_stool.fasta,7.333333333,43.433,9,97,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_97x8-1_late__08-1_97.013.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_97x8-1_late__08-1_97.013.LR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_97x8-1_late__08-1_97.013.LR_stool.fasta,0.416666667,0.634,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_97x8-1_late__08-1_97.013.LR_stool.fasta,2.5,1.264,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_97xbin.21.SR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_97xbin.21.SR_stool.fasta,5.083333333,3.579,36,97,11,After weaning,"Colonized after WN, timepoint after WN"
08-1_9x08-1_early__08-1_9.005.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_9x08-1_early__08-1_9.005.LR_stool.fasta,0.166666667,6.125,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_9x4_sub.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_9x4_sub.LR_stool.fasta,0.416666667,17.74,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-1_9x6.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-1_9x6.LR_stool.fasta,0.166666667,1.837,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x08-2_11.019_sub.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x08-2_11.019_sub.SR_stool.fasta,0.25,2.82,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
