MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C008-M00_BAPx13.SR_plate.fasta,0,0.000
C008-M00_BAPx13.SR_plate.fasta,3,0.665
C008-M00_BAPx2.SR_plate.fasta,0,0.000
C008-M00_BAPx2.SR_plate.fasta,0.5,0.000
C008-M00_stoolx17.SR_stool.fasta,0,0.000
C008-M00_stoolx17.SR_stool.fasta,0.5,1.273
C008-M00_stoolx24_sub.SR_stool.fasta,0,0.000
C008-M00_stoolx24_sub.SR_stool.fasta,0.5,9.236
C008-M00_stoolx3_sub.SR_stool.fasta,0,0.000
C008-M00_stoolx3_sub.SR_stool.fasta,0.5,10.627
C008-M00_stoolx3_sub.SR_stool.fasta,3,15.651
C008-M00_stoolxbin.16.SR_stool.fasta,0,0.000
C008-M00_stoolxbin.16.SR_stool.fasta,3,0.000
C008-M00_stoolxbin.24.SR_stool.fasta,0,0.000
C008-M00_stoolxbin.24.SR_stool.fasta,0.5,0.000
C008-M00_stoolxbin.71.SR_stool.fasta,0,0.000
C008-M00_stoolxbin.71.SR_stool.fasta,0.5,1.301
C008-M00_stoolxC008-M00_stool.019.SR_stool.fasta,0,0.000
C008-M00_stoolxC008-M00_stool.019.SR_stool.fasta,0.5,0.000
C008-M00_stoolxC008-M00_stool.021_sub.SR_stool.fasta,0,0.000
C008-M00_stoolxC008-M00_stool.021_sub.SR_stool.fasta,2.5,2.491
C008-M00_stoolxC008-M00_stool.023_sub.SR_stool.fasta,0,0.000
C008-M00_stoolxC008-M00_stool.023_sub.SR_stool.fasta,0.5,1.498
C008-M00_stoolxC008-M00_stool.032_sub.SR_stool.fasta,0,0.000
C008-M00_stoolxC008-M00_stool.032_sub.SR_stool.fasta,0.5,0.000
C008-M00_WCxbin.2.SR_plate.fasta,0,0.000
C008-M00_WCxbin.2.SR_plate.fasta,3,4.966
C008-M00x22.LR_stool.fasta,0,0.000
C008-M00x22.LR_stool.fasta,3,1.980
C008-M00x6.LR_stool.fasta,0,0.000
C008-M00x6.LR_stool.fasta,0.5,1.268
C008-M00xbin.54.LR_stool.fasta,0,0.000
C008-M00xbin.54.LR_stool.fasta,0.5,7.736
C008-M06_BAPxbin.4.SR_plate.fasta,0,0.000
C008-M06_BAPxbin.4.SR_plate.fasta,2.5,1.992
C008-M06_LKVxC008-M06_LKV.001.SR_plate.fasta,0,0.000
C008-M06_LKVxC008-M06_LKV.001.SR_plate.fasta,0.5,1.072
C008-M06x62.SR_stool.fasta,0,0.000
C008-M06x62.SR_stool.fasta,2.5,0.000
C008-M06xbin.1.SR_stool.fasta,0,0.000
C008-M06xbin.1.SR_stool.fasta,0.5,3.337
C008-M06xbin.1.SR_stool.fasta,3,4.672
C008-M06xbin.52_sub.SR_stool.fasta,0,0.000
C008-M06xbin.52_sub.SR_stool.fasta,0.5,13.567
C008-M36_LKVxC008-M36_LKV.001.SR_plate.fasta,0,0.000
C008-M36_LKVxC008-M36_LKV.001.SR_plate.fasta,0.5,0.460
C008-M36_LKVxC008-M36_LKV.001.SR_plate.fasta,3,3.219
