Category,COG,Percent_by_category
Breastfed_beforeWeaning,M,0.078125
Breastfed_beforeWeaning,E,0.0234375
Breastfed_beforeWeaning,L,0.1484375
Breastfed_beforeWeaning,T,0.0859375
Breastfed_beforeWeaning,U,0.015625
Breastfed_beforeWeaning,D,0.078125
Breastfed_beforeWeaning,V,0.0390625
Breastfed_beforeWeaning,C,0.03125
Breastfed_beforeWeaning,F,0.0234375
Breastfed_beforeWeaning,G,0.109375
Breastfed_beforeWeaning,H,0.03125
Breastfed_beforeWeaning,I,0.046875
Breastfed_beforeWeaning,K,0.15625
Breastfed_beforeWeaning,O,0.0078125
Breastfed_beforeWeaning,P,0.09375
Breastfed_beforeWeaning,J,0.0234375
Breastfed_beforeWeaning,Q,0
Breastfed_beforeWeaning,N,0
Breastfed_beforeWeaning,W,0.0078125
Breastfed_beforeWeaning,B,0
Breastfed_beforeWeaning,Z,0
Intermediate_beforeWeaning,M,0.092783505
Intermediate_beforeWeaning,E,0.020618557
Intermediate_beforeWeaning,L,0.257731959
Intermediate_beforeWeaning,T,0.041237113
Intermediate_beforeWeaning,U,0.041237113
Intermediate_beforeWeaning,D,0.041237113
Intermediate_beforeWeaning,V,0.030927835
Intermediate_beforeWeaning,C,0.030927835
Intermediate_beforeWeaning,F,0.041237113
Intermediate_beforeWeaning,G,0.06185567
Intermediate_beforeWeaning,H,0.06185567
Intermediate_beforeWeaning,I,0
Intermediate_beforeWeaning,K,0.154639175
Intermediate_beforeWeaning,O,0.010309278
Intermediate_beforeWeaning,P,0.072164948
Intermediate_beforeWeaning,J,0.041237113
Intermediate_beforeWeaning,Q,0
Intermediate_beforeWeaning,N,0
Intermediate_beforeWeaning,W,0
Intermediate_beforeWeaning,B,0
Intermediate_beforeWeaning,Z,0
Formula_beforeWeaning,M,0.073333333
Formula_beforeWeaning,E,0.033333333
Formula_beforeWeaning,L,0.26
Formula_beforeWeaning,T,0.04
Formula_beforeWeaning,U,0.06
Formula_beforeWeaning,D,0.033333333
Formula_beforeWeaning,V,0.053333333
Formula_beforeWeaning,C,0.033333333
Formula_beforeWeaning,F,0.02
Formula_beforeWeaning,G,0.093333333
Formula_beforeWeaning,H,0.053333333
Formula_beforeWeaning,I,0.013333333
Formula_beforeWeaning,K,0.08
Formula_beforeWeaning,O,0.04
Formula_beforeWeaning,P,0.073333333
Formula_beforeWeaning,J,0.033333333
Formula_beforeWeaning,Q,0
Formula_beforeWeaning,N,0.006666667
Formula_beforeWeaning,W,0
Formula_beforeWeaning,B,0
Formula_beforeWeaning,Z,0
Breastfed_afterWeaning,M,0.089837997
Breastfed_afterWeaning,E,0.0544919
Breastfed_afterWeaning,L,0.175257732
Breastfed_afterWeaning,T,0.078055965
Breastfed_afterWeaning,U,0.055964654
Breastfed_afterWeaning,D,0.025036819
Breastfed_afterWeaning,V,0.063328424
Breastfed_afterWeaning,C,0.055964654
Breastfed_afterWeaning,F,0.017673049
Breastfed_afterWeaning,G,0.097201767
Breastfed_afterWeaning,H,0.025036819
Breastfed_afterWeaning,I,0.023564065
Breastfed_afterWeaning,K,0.094256259
Breastfed_afterWeaning,O,0.023564065
Breastfed_afterWeaning,P,0.051546392
Breastfed_afterWeaning,J,0.050073638
Breastfed_afterWeaning,Q,0.002945508
Breastfed_afterWeaning,N,0.014727541
Breastfed_afterWeaning,W,0
Breastfed_afterWeaning,B,0.001472754
Breastfed_afterWeaning,Z,0
Intermediate_afterWeaning,M,0.177489177
Intermediate_afterWeaning,E,0.047619048
Intermediate_afterWeaning,L,0.138528139
Intermediate_afterWeaning,T,0.069264069
Intermediate_afterWeaning,U,0.056277056
Intermediate_afterWeaning,D,0.034632035
Intermediate_afterWeaning,V,0.034632035
Intermediate_afterWeaning,C,0.021645022
Intermediate_afterWeaning,F,0.025974026
Intermediate_afterWeaning,G,0.077922078
Intermediate_afterWeaning,H,0.038961039
Intermediate_afterWeaning,I,0.004329004
Intermediate_afterWeaning,K,0.095238095
Intermediate_afterWeaning,O,0.025974026
Intermediate_afterWeaning,P,0.051948052
Intermediate_afterWeaning,J,0.064935065
Intermediate_afterWeaning,Q,0.012987013
Intermediate_afterWeaning,N,0.021645022
Intermediate_afterWeaning,W,0
Intermediate_afterWeaning,B,0
Intermediate_afterWeaning,Z,0
Formula_afterWeaning,M,0.105313093
Formula_afterWeaning,E,0.062618596
Formula_afterWeaning,L,0.172675522
Formula_afterWeaning,T,0.070208729
Formula_afterWeaning,U,0.05028463
Formula_afterWeaning,D,0.031309298
Formula_afterWeaning,V,0.048387097
Formula_afterWeaning,C,0.036053131
Formula_afterWeaning,F,0.022770398
Formula_afterWeaning,G,0.10056926
Formula_afterWeaning,H,0.039848197
Formula_afterWeaning,I,0.018026565
Formula_afterWeaning,K,0.10341556
Formula_afterWeaning,O,0.018026565
Formula_afterWeaning,P,0.046489564
Formula_afterWeaning,J,0.059772296
Formula_afterWeaning,Q,0.010436433
Formula_afterWeaning,N,0.003795066
Formula_afterWeaning,W,0
Formula_afterWeaning,B,0
Formula_afterWeaning,Z,0
Mother,M,0.070021882
Mother,E,0.039387309
Mother,L,0.150984683
Mother,T,0.072210066
Mother,U,0.054704595
Mother,D,0.037199125
Mother,V,0.052516411
Mother,C,0.037199125
Mother,F,0.032822757
Mother,G,0.094091904
Mother,H,0.030634573
Mother,I,0.019693654
Mother,K,0.120350109
Mother,O,0.024070022
Mother,P,0.067833698
Mother,J,0.052516411
Mother,Q,0.010940919
Mother,N,0.030634573
Mother,W,0
Mother,B,0
Mother,Z,0.002188184
