Sample,MOL_range,MOL,Count
20-2_0,00-01,0,0
39-2_1,00-01,1,0
43-1_1,00-01,1,0
20-2_2,3-Feb,2,0
43-1_2,3-Feb,2,0
39-2_3,3-Feb,3,0
20-1_5,7-May,5,1
20-2_5,7-May,5,2
08-1_6,7-May,6,0
08-2_6,7-May,6,0
14-1_6,7-May,6,0
14-2_6,7-May,6,0
17-1_6,7-May,6,0
17-2_6,7-May,6,0
19-1_6,7-May,6,0
19-2_6,7-May,6,0
29-1_6,7-May,6,0
29-2_6,7-May,6,0
40-1_6,7-May,6,0
40-2_6,7-May,6,0
39-2_7,7-May,7,0
43-1_7,7-May,7,1
43-2_7,7-May,7,0
47-1_7,7-May,7,1
47-2_7,7-May,7,1
20-1_8,10-Aug,8,1
29-1_8,10-Aug,8,0
39-1_8,10-Aug,8,1
39-2_8,10-Aug,8,1
43-1_8,10-Aug,8,3
43-2_8,10-Aug,8,1
08-1_9,10-Aug,9,1
08-2_9,10-Aug,9,1
14-1_9,10-Aug,9,0
14-2_9,10-Aug,9,1
20-2_9,10-Aug,9,2
29-1_9,10-Aug,9,0
40-1_9,10-Aug,9,0
17-1_10,10-Aug,10,0
19-1_10,10-Aug,10,0
19-2_10,10-Aug,10,0
20-2_10,10-Aug,10,1
29-1_10,10-Aug,10,0
29-2_10,10-Aug,10,0
39-2_10,10-Aug,10,2
40-2_10,10-Aug,10,0
43-1_10,10-Aug,10,2
47-1_10,10-Aug,10,1
47-2_10,10-Aug,10,2
08-1_11,13-Nov,11,0
08-2_11,13-Nov,11,1
14-1_11,13-Nov,11,3
14-2_11,13-Nov,11,4
17-2_11,13-Nov,11,0
20-1_11,13-Nov,11,1
20-2_11,13-Nov,11,0
29-1_11,13-Nov,11,0
39-1_11,13-Nov,11,2
39-2_11,13-Nov,11,2
43-1_11,13-Nov,11,2
19-1_12,13-Nov,12,0
19-2_12,13-Nov,12,1
20-2_12,13-Nov,12,1
29-1_12,13-Nov,12,1
43-1_12,13-Nov,12,1
43-2_12,13-Nov,12,3
17-1_13,13-Nov,13,2
17-2_13,13-Nov,13,0
20-2_13,13-Nov,13,1
29-1_13,13-Nov,13,0
39-2_13,13-Nov,13,1
40-1_13,13-Nov,13,0
40-2_13,13-Nov,13,1
47-1_13,13-Nov,13,0
47-2_13,13-Nov,13,3
08-1_14,14-18,14,0
08-2_14,14-18,14,2
14-1_14,14-18,14,1
14-2_14,14-18,14,1
20-1_14,14-18,14,1
20-2_14,14-18,14,1
29-1_14,14-18,14,0
29-2_14,14-18,14,0
39-1_14,14-18,14,2
39-2_14,14-18,14,2
43-1_14,14-18,14,1
20-2_15,14-18,15,0
29-1_15,14-18,15,0
40-1_15,14-18,15,0
43-2_15,14-18,15,2
17-1_16,14-18,16,4
17-2_16,14-18,16,3
19-1_16,14-18,16,1
19-2_16,14-18,16,1
40-2_16,14-18,16,1
43-1_16,14-18,16,2
29-1_17,14-18,17,1
29-2_17,14-18,17,3
43-1_17,14-18,17,3
47-1_17,14-18,17,0
47-2_17,14-18,17,1
20-2_18,14-18,18,1
29-1_18,14-18,18,3
39-2_18,14-18,18,1
29-1_20,20-24,20,4
39-2_20,20-24,20,0
43-1_21,20-24,21,1
20-2_22,20-24,22,3
20-2_23,20-24,23,1
29-1_23,20-24,23,1
39-2_24,20-24,24,1
43-1_24,20-24,24,3
29-1_33,33-37,33,1
43-1_34,33-37,34,4
19-1_35,33-37,35,3
20-1_35,33-37,35,5
20-2_35,33-37,35,1
40-1_35,33-37,35,2
40-2_35,33-37,35,0
08-1_36,33-37,36,0
08-2_36,33-37,36,0
14-1_36,33-37,36,2
14-2_36,33-37,36,0
17-1_36,33-37,36,3
17-2_36,33-37,36,1
19-2_36,33-37,36,3
29-2_36,33-37,36,4
39-1_36,33-37,36,6
39-2_36,33-37,36,6
43-2_36,33-37,36,1
47-1_37,33-37,37,5
47-2_37,33-37,37,3
20-2_39,39-42,39,3
43-1_40,39-42,40,3
39-2_41,39-42,41,4
29-1_42,39-42,42,0
43-1_46,46-47,46,5
20-2_47,46-47,47,3
29-1_47,46-47,47,1
39-2_47,46-47,47,7
39-2_52,52-54,52,4
29-1_53,52-54,53,4
20-2_54,52-54,54,0
43-1_54,52-54,54,1
20-2_64,64-67,64,1
39-2_66,64-67,66,6
43-1_66,64-67,66,2
29-1_67,64-67,67,2
43-1_73,73-76,73,3
39-2_74,73-76,74,4
20-2_76,73-76,76,2
29-1_76,73-76,76,2
43-1_81,81-88,81,1
20-2_88,81-88,88,2
29-1_88,81-88,88,1
39-2_88,81-88,88,3
47-1_88,81-88,88,1
47-2_88,81-88,88,1
43-1_90,89-99,90,2
40-1_93,89-99,93,9
39-1_94,89-99,94,6
39-2_94,89-99,94,6
40-2_94,89-99,94,4
43-2_94,89-99,94,2
08-2_95,89-99,95,0
14-1_95,89-99,95,4
14-2_95,89-99,95,2
19-1_95,89-99,95,4
19-2_95,89-99,95,2
29-1_95,89-99,95,7
29-2_95,89-99,95,4
08-1_97,89-99,97,1
17-1_97,89-99,97,2
20-1_97,89-99,97,7
20-2_97,89-99,97,6
17-2_99,89-99,99,7
