Group,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source,Contig_count,Assembly_size
HQ Winners,20-2_12_BAPxbin.6.SR_plate,90.02,0,0,13894,MetaSPAdes (SR),Plate,503,4371130
HQ Winners,29-1_18_stoolx45_sub.SR_stool,90.03,0,0,106347,MetaSPAdes (SR),Stool,28,2106340
HQ Winners,40-1_15xbin.1_sub.SR_stool,90.11,0,0,223666,MetaSPAdes (SR),Stool,35,3166184
HQ Winners,29-1_18_stoolxbin.44.SR_stool,90.14,0,0,86651,MetaSPAdes (SR),Stool,43,2646050
HQ Winners,C014-M06xC014__C014-M06.005.LR_stool,90.14,0,0,1754009,MetaFlye2 (LR),Stool,9,1854832
HQ Winners,17-2_16_stoolxbin.49.SR_stool,90.25,0,0,116172,MetaSPAdes (SR),Stool,32,2344586
HQ Winners,C043-M07_stoolx10_sub.SR_stool,90.26,0,0,9968,MetaSPAdes (SR),Stool,420,2825025
HQ Winners,47-1_7_stoolxbin.32.SR_stool,90.57,0,0,57785,MetaSPAdes (SR),Stool,56,2144934
HQ Winners,08-2_14x46.SR_stool,90.82,0,0,74817,MetaSPAdes (SR),Stool,53,2439853
HQ Winners,17-1_97xbin.7.LR_stool,90.82,0,0,628663,MetaFlye2 (LR),Stool,6,2522317
HQ Winners,20-2_14xbin.57_sub.SR_stool,90.91,0,0,188965,MetaSPAdes (SR),Stool,56,3015414
HQ Winners,C017-M06x7.LR_stool,91.13,0,0,572567,MetaFlye2 (LR),Stool,8,2745103
HQ Winners,40-2_35_stoolxbin.19.SR_stool,91.16,0,0,82536,MetaSPAdes (SR),Stool,55,2298945
HQ Winners,17-1_36_stoolx48.SR_stool,91.28,0,0,626339,MetaSPAdes (SR),Stool,8,2205500
HQ Winners,C047-M24_stoolx19_sub.SR_stool,91.51,0,0,24491,MetaSPAdes (SR),Stool,147,2420778
HQ Winners,19-2_95x5.LR_stool,91.55,0,0,336122,MetaFlye2 (LR),Stool,10,2762032
HQ Winners,43-1_24x50.LR_stool,91.56,0,0,560494,MetaFlye2 (LR),Stool,14,3513721
HQ Winners,C017-M06x80.LR_stool,91.57,0,0,386670,MetaFlye2 (LR),Stool,27,7377581
HQ Winners,39-2_66xbin.6.SR_stool,91.58,0,0,194702,MetaSPAdes (SR),Stool,18,2354310
