Group,Group_ScatterPlot,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source
All MAGs,LQ,19-2_12xbin.17.LR_stool,100,100,41.38,6726984,MetaFlye2 (LR),Stool
All MAGs,LQ,20-2_11x6.LR_stool,100,100,81.06,105598,MetaFlye2 (LR),Stool
All MAGs,LQ,19-1_N16xbin.22_sub.SR_stool,100,92.24,91.57,59940,MetaSPAdes (SR),Stool
All MAGs,LQ,20-1_35_stoolx20-1_35_stool.030_sub.SR_stool,100,89.18,15.24,69321,MetaSPAdes (SR),Stool
All MAGs,LQ,43-1_7_stoolx19_sub.SR_stool,100,87.62,88.61,120885,MetaSPAdes (SR),Stool
All MAGs,LQ,C020-M07_BAPx33_sub.SR_plate,100,83.76,96.27,220673,MetaSPAdes (SR),Plate
All MAGs,LQ,39-2_36x55.SR_stool,100,81.38,69.63,56370,MetaSPAdes (SR),Stool
All MAGs,LQ,C014-M06xbin.21.LR_stool,100,73.12,88.14,387428,MetaFlye2 (LR),Stool
All MAGs,LQ,43-1_1x16.SR_stool,100,68.65,96.36,21137,MetaSPAdes (SR),Stool
All MAGs,LQ,43-2_8xbin.21_sub.LR_stool,100,63.79,48.28,2185099,MetaFlye2 (LR),Stool
All MAGs,LQ,C047-M07_WCxC047-M07_WC.002.SR_plate,100,61.4,85.45,209107,MetaSPAdes (SR),Plate
All MAGs,LQ,43-2_7_stoolx43-2_7_stool.003.SR_stool,100,58.11,32.97,2185249,MetaSPAdes (SR),Stool
All MAGs,LQ,19-1_35_stoolx19-1_35_stool.018.SR_stool,100,55.64,98.28,164293,MetaSPAdes (SR),Stool
All MAGs,LQ,43-2_7x33.LR_stool,100,55.02,93.06,102827,MetaFlye2 (LR),Stool
All MAGs,LQ,20-2_47xbin.35_sub.LR_stool,100,54.39,80.25,77534,MetaFlye2 (LR),Stool
All MAGs,LQ,20-2_5x20-2_5.001.SR_stool,100,49.77,58.54,2662448,MetaSPAdes (SR),Stool
All MAGs,LQ,43-1_21xbin.30.LR_stool,100,48.28,82.86,2337066,MetaFlye2 (LR),Stool
All MAGs,LQ,C020-M07xbin.4.LR_stool,100,37.07,70.59,1928472,MetaFlye2 (LR),Stool
All MAGs,LQ,C040-M06xC040-M06.023.SR_stool,100,35.43,34.2,,MetaSPAdes (SR),Stool
All MAGs,LQ,29-2_14xbin.1.SR_stool,100,34.13,49.04,1279964,MetaSPAdes (SR),Stool
All MAGs,LQ,C047-M07_stoolxC047-M07_stool.032.SR_stool,100,33.97,51,324004,MetaSPAdes (SR),Stool
All MAGs,LQ,39-1_N11_DP_BAPcstx39-1_N11_DP_BAPcst.003.SR_plate,100,32.47,89.19,657753,MetaSPAdes (SR),Plate
All MAGs,LQ,17-1_100_stoolx61_sub.SR_stool,100,32.01,91.89,232207,MetaSPAdes (SR),Stool
All MAGs,LQ,C040-M00_LKVxC040-M00_LKV.003.SR_plate,100,31.55,53.57,1949116,MetaSPAdes (SR),Plate
All MAGs,LQ,47-2_37x31.LR_stool,100,31.03,12.5,2183751,MetaFlye2 (LR),Stool
All MAGs,LQ,43-2_8xbin.1.SR_stool,100,29.44,73.81,68260,MetaSPAdes (SR),Stool
All MAGs,LQ,C019-M07_stoolxC019-M07_stool.008.SR_stool,100,27.71,31.51,3040657,MetaSPAdes (SR),Stool
All MAGs,LQ,29-1_N15x29-1_N15.012.SR_stool,100,26.94,35.37,1728048,MetaSPAdes (SR),Stool
All MAGs,LQ,39-2_88x39-2_late__39-2_88.008_sub.LR_stool,100,25.24,65.79,5429276,MetaFlye2 (LR),Stool
All MAGs,LQ,39-2_41xbin.8_sub.LR_stool,100,21.09,86.36,954535,MetaFlye2 (LR),Stool
All MAGs,LQ,29-2_95_DP_BAPcstxbin.16.SR_plate,100,20.98,29.03,2312125,MetaSPAdes (SR),Plate
All MAGs,LQ,29-1_33x109_sub.SR_stool,100,20.83,25.53,888377,MetaSPAdes (SR),Stool
All MAGs,LQ,47-2_17x8.SR_stool,100,20.69,75.61,480139,MetaSPAdes (SR),Stool
All MAGs,LQ,C017-M23_stoolxbin.113.SR_stool,100,19.81,0,209274,MetaSPAdes (SR),Stool
All MAGs,LQ,39-2_36xbin.62_sub.SR_stool,100,19.75,60,70501,MetaSPAdes (SR),Stool
All MAGs,LQ,29-1_13x11.LR_stool,100,18.89,93.9,2445259,MetaFlye2 (LR),Stool
All MAGs,LQ,29-1_11x20.LR_stool,100,17.74,94.94,2445359,MetaFlye2 (LR),Stool
All MAGs,LQ,29-1_12x6.LR_stool,100,17.74,94.94,2445858,MetaFlye2 (LR),Stool
All MAGs,LQ,39-2_94xbin.67_sub.LR_stool,100,17.55,97.44,216793,MetaFlye2 (LR),Stool
All MAGs,LQ,39-2_66x34_sub.LR_stool,100,17.35,83.33,957923,MetaFlye2 (LR),Stool
